Paragraph,Question,Answer
"You fellas above says its the best Taiwanese restaurant in town . However it is the ONLY Taiwanese restaurant in town . The food is okay and the prices here are mediocre . You ca n't say its cheap because food is cheaper in Chinatown . They 're are better Taiwanese restaurants and they are located in Flushing , Queens .",how many taiwanese restaurants are there in this area ?,ONLY
"You fellas above says its the best Taiwanese restaurant in town . However it is the ONLY Taiwanese restaurant in town . The food is okay and the prices here are mediocre . You ca n't say its cheap because food is cheaper in Chinatown . They 're are better Taiwanese restaurants and they are located in Flushing , Queens .",what do you think of the price ?,mediocre
"BEST DINING EXPERIENCE IN THE WEST VILLAGE ! Stepping into Casa La Femme last night was a true experience unlike any other in New York ! Highly impressed from the decor to the food to the hospitality to the great night I had ! The have a great cocktail with Citrus Vodka and lemon and lime juice and mint leaves that is to die for ! Food took some time to prepare , all worth waiting for . We were drawn into the belly dancing show that captivated the crowd . I never write on these sites but this restaurant is def worth commending ! Great find in the West Village !",do you like their decor ?,Highly impressed
"If you are the type of person who likes being scared and entertained , this is a great place to go and eat . My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary , and to our surprise it was fantastic . The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini . The entertainment was great they have shows that go on through out the dinner . Please take my advice , go and try this place . Its located in greenewich village . You will not be disapointed at all .",how many kinds of beers do they offer ?,over 100
"If you are the type of person who likes being scared and entertained , this is a great place to go and eat . My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary , and to our surprise it was fantastic . The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini . The entertainment was great they have shows that go on through out the dinner . Please take my advice , go and try this place . Its located in greenewich village . You will not be disapointed at all .",do you like their food ?,delicious
"If you are the type of person who likes being scared and entertained , this is a great place to go and eat . My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary , and to our surprise it was fantastic . The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini . The entertainment was great they have shows that go on through out the dinner . Please take my advice , go and try this place . Its located in greenewich village . You will not be disapointed at all .",any recommended dish here ?,pumkin tortelini
"This is the perfect date spot for Williamsburg couples . The jukebox plays everything from Italian Opera to The Strokes . The food is amazing , rich pastas and fresh doughy pizza . Best of all is the warm vibe , the owner is super friendly and service is fast . If only they delivered , they 'd make a mint !",how is the food ?,amazing
"This is the perfect date spot for Williamsburg couples . The jukebox plays everything from Italian Opera to The Strokes . The food is amazing , rich pastas and fresh doughy pizza . Best of all is the warm vibe , the owner is super friendly and service is fast . If only they delivered , they 'd make a mint !",how is the pizza ?,fresh doughy
"This is the perfect date spot for Williamsburg couples . The jukebox plays everything from Italian Opera to The Strokes . The food is amazing , rich pastas and fresh doughy pizza . Best of all is the warm vibe , the owner is super friendly and service is fast . If only they delivered , they 'd make a mint !",how is the vibe ?,warm
"This is the perfect date spot for Williamsburg couples . The jukebox plays everything from Italian Opera to The Strokes . The food is amazing , rich pastas and fresh doughy pizza . Best of all is the warm vibe , the owner is super friendly and service is fast . If only they delivered , they 'd make a mint !",how is their service ?,fast
"Do n't dine at Tamarind for the vegetarian dishes , they are simply not up to par with the non-veg selections . Decor is nice though service can be spotty . This place is always packed . I know because I live nearby . Most importantly , food is excellent . Try the sea bass . Highly recommended .",how is their decor ?,nice
"Do n't dine at Tamarind for the vegetarian dishes , they are simply not up to par with the non-veg selections . Decor is nice though service can be spotty . This place is always packed . I know because I live nearby . Most importantly , food is excellent . Try the sea bass . Highly recommended .",what do you think of their service ?,spotty
"Do n't dine at Tamarind for the vegetarian dishes , they are simply not up to par with the non-veg selections . Decor is nice though service can be spotty . This place is always packed . I know because I live nearby . Most importantly , food is excellent . Try the sea bass . Highly recommended .",how would you rate their food ?,excellent
"Do n't dine at Tamarind for the vegetarian dishes , they are simply not up to par with the non-veg selections . Decor is nice though service can be spotty . This place is always packed . I know because I live nearby . Most importantly , food is excellent . Try the sea bass . Highly recommended .",any recommended dish here ?,sea bass
"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too . With the great variety on the menu , I eat here often and never get bored . The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down . It 's all about the food ! !",what do you typically eat there ?,sushi
